# Loss,Accuracy,Learning_Rate,R2,MAE,MSE,RMSE,MAPE
6914.7095242348,0.1666666667,0.0010000000,-12.1321924651,0.8093757516,0.7202822421,0.8486944339,0.0000000000
77.8191800195,87.0833333333,0.0010000000,0.8522083327,0.0267866810,0.0081061646,0.0900342412,0.0000000000
58.0930930620,83.2500000000,0.0010000000,0.8896714784,0.0276596196,0.0060513639,0.0777905127,0.0000000000
55.7405451019,83.2500000000,0.0010000000,0.8941393613,0.0270234576,0.0058063068,0.0761991259,0.0000000000
53.7996690907,83.1666666667,0.0010000000,0.8978254102,0.0265489981,0.0056041322,0.0748607520,0.0000000000
50.8956263152,82.8333333333,0.0010000000,0.9033406742,0.0260905159,0.0053016277,0.0728122774,0.0000000000
44.1058039183,83.0000000000,0.0010000000,0.9162356851,0.0244543232,0.0045943546,0.0677816684,0.0000000000
40.7686665787,84.0000000000,0.0010000000,0.9225734683,0.0233053364,0.0042467361,0.0651669863,0.0000000000
39.5068855090,83.8333333333,0.0010000000,0.9249698021,0.0229706825,0.0041153006,0.0641506085,0.0000000000
38.5711284061,83.7500000000,0.0010000000,0.9267469617,0.0227268933,0.0040178259,0.0633863225,0.0000000000
37.5945017895,83.8333333333,0.0010000000,0.9286017393,0.0225170060,0.0039160939,0.0625787019,0.0000000000
36.5984369743,84.0000000000,0.0010000000,0.9304934334,0.0222516821,0.0038123372,0.0617441267,0.0000000000
36.4231080152,83.9166666667,0.0010000000,0.9308264125,0.0221768505,0.0037940738,0.0615960531,0.0000000000
34.9703427546,84.0833333333,0.0010000000,0.9335854572,0.0216134640,0.0036427440,0.0603551492,0.0000000000
34.5023467284,84.5000000000,0.0010000000,0.9344742601,0.0213521579,0.0035939945,0.0599499329,0.0000000000
33.6561987737,84.4166666667,0.0010000000,0.9360812369,0.0211002347,0.0035058540,0.0592102528,0.0000000000
33.0082335158,84.5000000000,0.0010000000,0.9373118315,0.0207944787,0.0034383577,0.0586375107,0.0000000000
32.6811481587,84.0000000000,0.0010000000,0.9379330215,0.0208960611,0.0034042863,0.0583462618,0.0000000000
31.3519910577,84.1666666667,0.0010000000,0.9404573136,0.0202045536,0.0032658324,0.0571474619,0.0000000000
30.3165658509,84.0000000000,0.0010000000,0.9424237596,0.0197961050,0.0031579756,0.0561958683,0.0000000000
47.2178944802,86.2500000000,0.0010000000,0.9103253035,0.0227954989,0.0049185307,0.0701322371,0.0000000000
28.1289576611,84.7500000000,0.0010000000,0.9465783943,0.0189238174,0.0029300998,0.0541303959,0.0000000000
27.5528750583,84.6666666667,0.0010000000,0.9476724717,0.0186515835,0.0028700912,0.0535732317,0.0000000000
27.1207508843,85.0833333333,0.0010000000,0.9484931480,0.0183542383,0.0028250782,0.0531514649,0.0000000000
26.7695855300,85.0833333333,0.0010000000,0.9491600698,0.0181098822,0.0027884985,0.0528062354,0.0000000000
26.5817092943,85.3333333333,0.0010000000,0.9495168783,0.0179923506,0.0027689281,0.0526206048,0.0000000000
31.2594932615,84.2500000000,0.0010000000,0.9406329824,0.0192809883,0.0032561972,0.0570630985,0.0000000000
25.8427391228,85.9166666667,0.0010000000,0.9509203065,0.0176230967,0.0026919520,0.0518840244,0.0000000000
25.5079402392,86.0833333333,0.0010000000,0.9515561457,0.0174075738,0.0026570771,0.0515468438,0.0000000000
