# Loss,Accuracy,Learning_Rate,R2,MAE,MSE,RMSE,MAPE
6101.3775730159,1.5833333333,0.0010000000,-10.5875387550,0.7540311692,0.6355601639,0.7972202731,0.0000000000
93.0024734557,87.4166666667,0.0010000000,0.8233727134,0.0282574776,0.0096877577,0.0984264073,0.0000000000
57.6608914187,83.0833333333,0.0010000000,0.8904923018,0.0274255749,0.0060063429,0.0775005991,0.0000000000
54.9457221056,83.4166666667,0.0010000000,0.8956488634,0.0268005788,0.0057235127,0.0756539009,0.0000000000
51.8291235095,83.2500000000,0.0010000000,0.9015678066,0.0262627159,0.0053988670,0.0734769830,0.0000000000
46.7268458080,83.6666666667,0.0010000000,0.9112578872,0.0249821394,0.0048673798,0.0697666093,0.0000000000
42.2183903042,83.7500000000,0.0010000000,0.9198202000,0.0237724894,0.0043977490,0.0663155260,0.0000000000
40.0161196108,83.6666666667,0.0010000000,0.9240026812,0.0231082890,0.0041683458,0.0645627276,0.0000000000
38.7983783660,83.8333333333,0.0010000000,0.9263153759,0.0227412682,0.0040414977,0.0635727752,0.0000000000
37.9996196659,84.0000000000,0.0010000000,0.9278323526,0.0224997438,0.0039582937,0.0629149721,0.0000000000
37.4820338568,83.9166666667,0.0010000000,0.9288153348,0.0223592479,0.0039043785,0.0624850264,0.0000000000
36.5985965929,84.1666666667,0.0010000000,0.9304931302,0.0220570098,0.0038123538,0.0617442614,0.0000000000
37.1824425833,84.6666666667,0.0010000000,0.9293843088,0.0219424521,0.0038731711,0.0622348062,0.0000000000
35.1905844617,84.5833333333,0.0010000000,0.9331671813,0.0216132921,0.0036656859,0.0605449080,0.0000000000
34.5825862326,84.3333333333,0.0010000000,0.9343218718,0.0215141928,0.0036023527,0.0600196029,0.0000000000
35.3297669761,84.2500000000,0.0010000000,0.9329028504,0.0215337606,0.0036801841,0.0606645206,0.0000000000
33.4884584463,84.5833333333,0.0010000000,0.9363998039,0.0209162314,0.0034883811,0.0590625185,0.0000000000
31.6731996913,85.1666666667,0.0010000000,0.9398472846,0.0201969266,0.0032992916,0.0574394606,0.0000000000
30.6540163707,84.5000000000,0.0010000000,0.9417828845,0.0198710712,0.0031931267,0.0565077579,0.0000000000
30.4317868714,85.6666666667,0.0010000000,0.9422049356,0.0193410243,0.0031699778,0.0563025559,0.0000000000
29.5664051367,85.0833333333,0.0010000000,0.9438484406,0.0192296723,0.0030798339,0.0554962509,0.0000000000
29.6572154542,85.5833333333,0.0010000000,0.9436759766,0.0188283732,0.0030892933,0.0555814112,0.0000000000
28.2977958978,85.2500000000,0.0010000000,0.9462577422,0.0187295655,0.0029476871,0.0542926061,0.0000000000
